question;correct_answer;wrong_answer;free_response ;difficult_level
Mongolia       ;Ulan Bator ;;;2
Montenegro       ;Podgorica ;;;2
Mozambico       ;Maputo ;;;2
Namibia       ;Windhoek ;;;2
Nauru       ;Yaren (sede politica) ;;;2
Nepal       ;Kathmandu ;;;2
Nicaragua       ;Managua ;;;2
Niger       ;Niamey ;;;2
Nigeria       ;Abuja ;;;2
Norvegia       ;Oslo ;;;2
Nuova Zelanda      ;Wellington ;;;2
Oman       ;Mascate ;;;2
Paesi Bassi      ;Amsterdam ;;;2
Pakistan       ;Islamabad ;;;2
Palau       ;Ngerulmud ;;;2
"Panam&aacute;       ";"Panam&aacute; ";;;2
Papua Nuova Guinea     ;Port Moresby ;;;2
Paraguay       ;"Asunci&oacute;n ";;;2
Perù       ;Lima ;;;2
Polonia       ;Varsavia ;;;2
Portogallo       ;Lisbona ;;;2
Qatar       ;Doha ;;;2
Regno Unito      ;Londra ;;;2
Romania       ;Bucarest ;;;2
Ruanda       ;Kigali ;;;2
Russia       ;Mosca ;;;2
Saint Kitts e Nevis    ;Basseterre ;;;2
Saint Vincent e Grenadine    ;Kingstown ;;;2
Isole Salomone;Honiara ;;;2
Samoa       ;Apia ;;;2
San Marino San Marino    ;"Citt&agrave; di San Marino ";;;2
Santa Lucia Santa Lucia    ;Castries ;;;2
"S&oacute;o Tom&eacute; e Pr&iacute;ncipe    ";"S&oacute;o Tom&eacute; ";;;2
Senegal       ;Dakar ;;;2
Serbia       ;Belgrado ;;;2
Seychelles       ;Port Victoria ;;;2
Sierra Leone      ;Freetown ;;;2
Singapore       ;Singapore ;;;2
Siria       ;Damasco ;;;2
Slovacchia       ;Bratislava ;;;2
Slovenia       ;Lubiana ;;;2
Somalia       ;Mogadiscio ;;;2
Spagna       ;Madrid ;;;2
Sri Lanka      ;Sri Jayewardanapura Kotte ;;;2
Stati Uniti      ;Washington D.C. ;;;2
Sudafrica       ;"Pretoria amministrativa, Citt&agrave; del Capo legislativa, e Bloemfontein giudiziaria ";;;2
Sudan       ;Khartum ;;;2
Sudan del Sud     ;Juba ;;;2
Suriname       ;Paramaribo ;;;2
Svezia       ;Stoccolma ;;;2
Svizzera       ;Berna ;;;2
Swaziland       ;Mbabane amministrativa e giudiziaria, e Lobamba legislativa ;;;2
Tagikistan       ;Dushanbe ;;;2
Taiwan       ;Taipei ;;;2
Tanzania       ;Dodoma ;;;2
Thailandia       ;Bangkok ;;;2
Timor Est      ;Dili ;;;2
Togo       ;"Lom&eacute; ";;;2
Tonga       ;Nuku'alofa ;;;2
Trinidad e Tobago     ;Port of Spain ;;;2
Tunisia       ;Tunisi ;;;2
Turchia       ;Ankara ;;;2
Turkmenistan       ;Ashgabat ;;;2
Tuvalu       ;Funafuti ;;;2
Ucraina       ;Kiev ;;;2
Uganda       ;Kampala ;;;2
Ungheria       ;Budapest ;;;2
Uruguay       ;Montevideo ;;;2
Uzbekistan       ;Tashkent ;;;2
Vanuatu       ;Port Vila ;;;2
"Citt&agrave; del Vaticano     ";"Citt&agrave; del Vaticano (citt&agrave;-stato) ";;;2
Venezuela       ;Caracas ;;;2
Vietnam       ;Hanoi ;;;2
Yemen       ;San'a ;;;2
Zambia       ;Lusaka ;;;2
Zimbabwe       ;Harare ;;;2
